Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
Karasjok - Markannjarga,SN97251,09.05.2005,0.6
Karasjok - Markannjarga,SN97251,10.05.2005,3.1
Karasjok - Markannjarga,SN97251,11.05.2005,2.4
Karasjok - Markannjarga,SN97251,12.05.2005,4
Karasjok - Markannjarga,SN97251,13.05.2005,3.7
Karasjok - Markannjarga,SN97251,14.05.2005,1.7
Karasjok - Markannjarga,SN97251,15.05.2005,1
Karasjok - Markannjarga,SN97251,16.05.2005,3.3
Karasjok - Markannjarga,SN97251,17.05.2005,2
Karasjok - Markannjarga,SN97251,18.05.2005,3.8
Karasjok - Markannjarga,SN97251,19.05.2005,4.3
Karasjok - Markannjarga,SN97251,20.05.2005,3.5
Karasjok - Markannjarga,SN97251,21.05.2005,5.9
Karasjok - Markannjarga,SN97251,22.05.2005,5
Karasjok - Markannjarga,SN97251,23.05.2005,9.4
Karasjok - Markannjarga,SN97251,24.05.2005,9.8
Karasjok - Markannjarga,SN97251,25.05.2005,6.6
Karasjok - Markannjarga,SN97251,26.05.2005,8
Karasjok - Markannjarga,SN97251,27.05.2005,4.2
Karasjok - Markannjarga,SN97251,28.05.2005,3.6
Karasjok - Markannjarga,SN97251,29.05.2005,3
Karasjok - Markannjarga,SN97251,30.05.2005,3.8
Karasjok - Markannjarga,SN97251,31.05.2005,4.6
Karasjok - Markannjarga,SN97251,01.06.2005,3.1
Karasjok - Markannjarga,SN97251,02.06.2005,5
Karasjok - Markannjarga,SN97251,03.06.2005,7.9
Karasjok - Markannjarga,SN97251,04.06.2005,8.6
Karasjok - Markannjarga,SN97251,05.06.2005,12.6
Karasjok - Markannjarga,SN97251,06.06.2005,7.7
Karasjok - Markannjarga,SN97251,07.06.2005,5
Karasjok - Markannjarga,SN97251,08.06.2005,8.3
Karasjok - Markannjarga,SN97251,09.06.2005,11.9
Karasjok - Markannjarga,SN97251,10.06.2005,12.1
Karasjok - Markannjarga,SN97251,11.06.2005,15.3
Karasjok - Markannjarga,SN97251,12.06.2005,17.4
Karasjok - Markannjarga,SN97251,13.06.2005,13.8
Karasjok - Markannjarga,SN97251,14.06.2005,8.8
Karasjok - Markannjarga,SN97251,15.06.2005,11.8
Karasjok - Markannjarga,SN97251,16.06.2005,16.6
Karasjok - Markannjarga,SN97251,17.06.2005,14.6
Karasjok - Markannjarga,SN97251,18.06.2005,13.1
Karasjok - Markannjarga,SN97251,19.06.2005,12.8
Karasjok - Markannjarga,SN97251,20.06.2005,17.4
Karasjok - Markannjarga,SN97251,21.06.2005,15.6
Karasjok - Markannjarga,SN97251,22.06.2005,15.9
Karasjok - Markannjarga,SN97251,23.06.2005,14.8
Karasjok - Markannjarga,SN97251,24.06.2005,13.4
Karasjok - Markannjarga,SN97251,25.06.2005,9.3
Karasjok - Markannjarga,SN97251,26.06.2005,10.5
Karasjok - Markannjarga,SN97251,27.06.2005,11.9
Karasjok - Markannjarga,SN97251,28.06.2005,10.3
Karasjok - Markannjarga,SN97251,29.06.2005,10.9
Karasjok - Markannjarga,SN97251,30.06.2005,11.2
Karasjok - Markannjarga,SN97251,01.07.2005,15.6
Karasjok - Markannjarga,SN97251,02.07.2005,16.5
Karasjok - Markannjarga,SN97251,03.07.2005,19
Karasjok - Markannjarga,SN97251,04.07.2005,18.2
Karasjok - Markannjarga,SN97251,05.07.2005,16.8
Karasjok - Markannjarga,SN97251,06.07.2005,18.6
Karasjok - Markannjarga,SN97251,07.07.2005,21
Karasjok - Markannjarga,SN97251,08.07.2005,20
Karasjok - Markannjarga,SN97251,09.07.2005,21.5
